page,name,link,thumbnail,rating,date,snippet,images,local_guide
1,Mel,https://www.google.com/maps/contrib/111783211551137885184?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjU7JjUsGZotjIMkmT_82gMuZr1cc864B3bee81S6xooIJ1vaEBP=s120-c-rp-mo-ba3-br100,1.0,3 minggu lalu,"Pelayanan luama pol, antri pun masih manual ga jelas tinggal berapa orang lagi. Padahal ada layar kyk tv kecil gitu tapi ga nyala. Mau cek pakai alat saraf jalannya jauh sekali dari poli saraf rawat jalan karena beda gedung ada 2-3km. Nunggu poli pun 5 jam baru dipanggil padahal daftar online. Alasan dokternya cuma 2???
Dikasi surat rujukan balik juga saya nunggu lagi lebih setengah jam alasan sholat ga balik2. Tolong pelayanannya sekelas RSUD loh ini gimana, yg sehat malah bisa sakit kayak gini lama2, apalagi yg sakit kasian",['https://lh3.googleusercontent.com/geougc-cs/AIHozJLOWZ_twh-4AoVtbiVCQG_YkOCtV1sfby0y_rPoB2GuaP6sQ0hU7KV5RxqRuTy7gAMMMGX0qgbW0BTnhfdXgATAlNcI_KvpFueeS7imPMXJQk0dzRsjqpkrGlzZd8HN_u-McChP'],True
1,Safriel Safrudin,https://www.google.com/maps/contrib/112106603746471658813?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJ4-EF8D_CiRpC7dAvZvxUFO-InDiyKaVwiah0YZEDoDlLFZw=s120-c-rp-mo-br100,1.0,2 bulan lalu,"Pelayanannya buruk, biro administrasinya lambat banget kerjanya kek orang loyo.
Ngetik lama, pas kerjanya juga kek mager gitu.
Padahal aq nganterin papa yang jempolnya keiris, tapi gak ditangani"" Menunggu selesai administrasi.
Dan biro administrasinya sendiri lambat kerjanya, padahal saya datang subuh"" Dan hanya ada 3 orang yang antri tapi orangnya lama.
Tolong pihak RS kalo nyari karyawan yang mumpuni, sesuai dan totalitas akan kerjanya.
Jangan males""an gitu, itu papa saya butuh cepat ditangani.
Gak selesai disana...
Papa saya juga lama ditanganinya, menunggu dokternya datang... Malah jari papa saya yang kepotong difoto""(saya hitung sampai 4x) perban dibuka tutup janya untuk difotoin dengan alasan burik tadi fotonya (alasan macam apa coba)
Saya juga sebagai penunggu kecewa gaboleh masuk dam gak disediain tempat nunggu, ini malah nunggu(ngemper kek gembel\pengungsi didepan gaboleh masuk.
*Jujur sekelas RS yang dibawah naungan pemerintah\perda kecewa dengan pelayannya yang sangat buruk dan sangan semena-mena seakan tidak memiliki SOP dan tidak memerhatikan AUPB khususnya pada pelayanan publik\public service.","['https://lh3.googleusercontent.com/geougc-cs/AIHozJL_GcbGkj0WtDsN29pu0Ar5ubZPzB8-900fdNkXMY9tzES4bDGih8R-7CDiG4LMVWA_44A7t3Ym0zA_rY1kZAtve1XvfWm9pevq5-d_4tQvDcBlBeKOhFNAARmL2VcoRRINoWa_qA', 'https://lh3.googleusercontent.com/geougc-cs/AIHozJJU1vCU84gr5y5YA37tMWeHmv38VAnQVVEJVOIZN1ln5k4d4i2oYt5FoxtOwWye0yeTqnZyt5vdU0ARm09DciDQX_ur0HCeeRchOThdV6sSdwXtdFURVBSjpWuM6usZcpRBEM9H']",True
1,dini rachmawati,https://www.google.com/maps/contrib/117178275622200966117?hl=id,https://lh3.googleusercontent.com/a/ACg8ocL73mR1WVbtETqmFcN4XTR97vdn6foJAvKi0AIo4ElYDxqtiQ=s120-c-rp-mo-br100,5.0,2 minggu lalu,"Alhamdulillah trimaksih untuk seluruh dr, perawat n staff di RS ini. Sejauh ini saya sangat puas dengan pelayanannya pdhl kami pengguna BPJS. Yg penting jangan males bertanya dan terus mempelajari alurnya pasti nga seburuk penilaian orng  tentang pengguna BPJS di RS ini👍. Buat yg baca sambung doa semoga sakit orang tua saya disembuhkan 🤲",['https://lh3.googleusercontent.com/geougc-cs/AIHozJK711zxnp5w0ZPxrrsfaF6OxeFXQMTbZr-wyk5qQNWUNVjiu3k7Xeeg6yOaw-uwnjtMBKZRf08cLKSnM7oY7PU7OCbkd5VDxFNdb4eEMtY_PqBV7i1ieiETnWFUnatxK6gbiADl'],True
1,Laili Ma'rifah,https://www.google.com/maps/contrib/114852412966426033071?hl=id,https://lh3.googleusercontent.com/a/ACg8ocIQaHrT5eO891H-94aDGFeKOtuJe9yh8O_rlvFPsSNtH0CUgQ=s120-c-rp-mo-br100,1.0,3 bulan lalu,"Bismillahirohmanirohim,
Sy adalah ASN yg kebetulan profesi juga dokter. Saya bekerja di lingkunngan TNI, dimana sikap hormat sopan dan santun sangat kami junjung tinggi di lingkungan kami.
Sebelumnya sy juga pernah bekerja di Rs Siloam  dan RS swasta lainnya.
Review ini saya ketik berdasarkan pengalaman pribadi & keluarga. Saya pernah berobat ke RSPAD, ke RS Ridwan Meureksa, RS Medika BSD, RSUD dr Iskak, menggunakan BPJS, alhamdulillah berjalan normal dan lancar, alhamdulillah kita tidak menjumpai / bertemu ppds. Walaupun dengan BPJS, alhamdulillah dokter dan perawat serta semua petugas baik dan ramah.

Baru hari ini, tgl 30 Desember 2024, sy pertama kali mengantar bapak saya berobat ke RSUD dr Soetomo, karena dirujuk oleh RS Siloam. Sy pikir perjalanan berobat bapak sy akan lancar seperti saat sy berobat ke RS2 yg sebut di atas.
Tapi subhanallah, di poli jantung sekitar pukul 13.15  bapak dan sy ketemu ppds (calon dokter spesialis yg sedang menempuh pendidikan) yg sombong, sengak dan arogan di ruang nomer 3, ppds tersebut atas nama Inisal T Y.
Kami beri sapa selamat siang baik2 tidak menjawab, menoleh melihat kami pun tidak, apalagi tersenyum. Karena dia hanya diam saja, sy inisiatif menyampaikan kondisi bapak saya, belum selesai sy bicara dia sudah marah2 nada tinggi sambil berjalan dan saya disuruh keluar bersama bapak saya, agar lgsg saja ke poli eksekutif. Dia cuma bilang jangan tanya saya, sy tidak tau sambil nada tinggi dan teriak seperti orang sakit j**a. Perawat di luar pun sama ditanya malah saling lempar. Sama2 bad atitude!
Padahal posisi saya hanya bertanya karena sy bingung, sy mendapat petunjuk dari dokter jantung di siloam lewat wa pada pukul 10.30 setelah sy sampaikan baik2 kalau bapak sy harus bertemu prof Yudi, ppds arogan tersebut langsung berdiri dengan nada tinggi memotong pembicaraan saya, dia ketus sekali menjawab dengan sikap minus yang sangat tidak mencerminkan seorang yang berpendidikan, bad vibes sekali, bahkan demi Allah sangat tidak pantas kalau dia jadi dokter spesialis nantinya, atitudenya minus!!!!!membalas ucapan sapaan pasien saja dia males sekali, ramah kepada pasien saja dia ga sanggup, Memberi informasi secara baik dan ramah saja dia males bicara baik2, gimana mau jd dokter spesialis?? Gimana dia mau mendengarkan keluhan pasien2nya?? Gimana nanti sikap dia ketika di meja operasi??
Seumur2 baru pertama kali ini berobat di RSUD dihadapkan sama ppds sinting, minus atitude, bad vibes, sombong dan arogan!
Naudzubillahimindzalik, cukup pertama dan terakhir ketemu manusia macam itu.

Pepatah ""Pentingnya sopan santun & tata krama dimanapun berada"" Jangan pernah berharap berlaku di RS ini, kecuali kalian pejabat tinggi pasti akan dilayani dengan baik.

Saya tidak akan pernah lupa dengan kejadian siang ini, sy tidak akan lupa dengan perlakuan oknum ppds sinting tersebut terhadap kami.

*Btw akhirnya sy menyarankan dan mengajak bapak sy pindah ke poli eksekutif dan langsung ke prof Yudi saja konsulnya.
Lalu kenapa tidak dari awal ke polu eksekutif? Karena bapak sy tidak mau dan kami baru mendapat arahan kalau trnyta harus ketemu langsung saja dengan prof Yudi sekitar pukul 10.30 saat kami sudah proses antrian di poli reguler.
Setelah kejadian bertemu oknum ppds sombong arogan tersebut, barulah bapak sy mau pindah ke poli eksekutif saja.*

Untuk teman2 yg ada rezeki lebih, saran sy lebih baik ke poli eksekutif saja. Semoga teman2 yg sakit, dimudahkan proses dalam berobat maupun membantu orang tua /saudara yg berobat di RSDS. Semoga dilancarkan rezekinya, dimudahkan segala prosesnya dan tidak bertemu dengan oknum2 yg bad atitude, very rude person. Semoga selalu dipertemukan dengan orang2 yg ramah dan baik. semoga selalu dalam keadaan baik, sehat, selalu dalam lindungan Allah. Aamiin",['https://lh3.googleusercontent.com/geougc-cs/AIHozJI2bYdJ4hUDk8Q75zT5PmBwUFj0KbNAAnBVcu6sOi0j9yM3LaWhZ_lfVw2uD00iQInhx66ceqYylrUMZWCIsl0Uc6MPle0dsx9VxBNXXzdIKd8cWIkUL8yX4CvrZSWby7xO52aUng'],True
1,Micu Emoy,https://www.google.com/maps/contrib/111375024262867718664?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXDtrEMbGRSKUDNzWlwIpN41zxZhIyjyAl-5XQK79-ZJRRxP9w=s120-c-rp-mo-br100,5.0,seminggu lalu,"Assallamualikum wr wb Bismillah... mohon Ijinkan saya mengeluh thd pelayanan Radioterapi,secara keseluruhan baik semua baik dokter dan petugas lainnya

Saya sdh mengeluhakn perihal oknum Radiogrfaer bpk Dedi yg sudah menawarkan daycare (apalah )ke rumah saya sehingga terjadilah hubungan di luar kendali kita

Mohon pelayanan yg sudah baik agar tidak ternodai oleh oknum""yg akan merugikan pasien,saya hingga saat ini tidak pernah ada penjelasan dari laporan saya ini,mohon agar tidak ada korban pasien ataupun keluarga pasien yang pernah saya alami u di datangi petugas alasan day care dll...ternyata modus

Demikian ,trimkasih mohon menjadi perhatiannnya",['https://lh3.googleusercontent.com/geougc-cs/AIHozJIs3bkaHN72nEpTDBU8Zm54B9Rq83XVxyP29HyW1qEwkAzYdnYV8BagZLR2sruL1jlgXZ4Dszpf-ShBWe5KjRmSO-US51ULQ-IW5_NmiED-zGqVU_Jgebgv9IgY4sdYj0kh2oMwQQ'],True
1,Fikri Fendi Ferdiansyah,https://www.google.com/maps/contrib/117961131966132046966?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjXNbTcoceq54qIDfyuWQ5anbTbohw4NyOreQnt8GbqEfHEej2iO=s120-c-rp-mo-br100,1.0,sebulan lalu,"Lagi2 rumah sakit ini berulah
Aku harusnya dapet 2 macam terapi di poli rehab medik. Tapi cuma dapet 1 aja hanya karena ""gymnasium tutup pendaftaran jam 13.30 mas""
Alesanya karna banyak pasien yg telat dateng ga ontime jadwal.

LAH TAPI SAYA DATENG 1 JAM SEBELUM WAKTU PELAYANAN YANG TERTERA DI TIKET. KENAPA JATAH SAYA DIPOTONG KARNA KESALAHAN ORANG2 LAIN??

lagian pelayanan kesehatan kok tutup sesiang itu. Bank aja pelayanan sampe jam 3. Tolong benahin dong. Kalau bisa milih aku ga milih rs ini

@bpjskesehatan_ri  @RSUD Dr. Soetomo",['https://lh3.googleusercontent.com/geougc-cs/AIHozJK0B9Q_aFC1ExPcb9BNdCDTqQ7CqO8dMjPUU6JgI2u30tQ0G3OOpV6ptby1d83lUqQJ3cOVBJsKWtI6TFSPAi3nP5qJ6jaP09KQ04wGyDVDo0ydwcGHsqwVxGn9CQ6YvfUY1JQz'],True
1,Ercy Vilo_07,https://www.google.com/maps/contrib/111177703512466831396?hl=id,https://lh3.googleusercontent.com/a-/ALV-UjUAKQ-pMfquOHDWJhfHRUwnrviV4pPLy6zdZvhlRXf-1bBsMQly=s120-c-rp-mo-br100,1.0,sebulan lalu,"parkir valetnya sangat kacau, mobil saya hampir ditabrakkan pengendara roda 2 di parkiran dan cara mengemudinya sangat parah. Tidak halus saat menggunakan transmisi padahal mobil itu saya jaga betul (mobil matic).

Kejadian ini ketahuan saat saya tiba dirumah dan mau buat video perjalanan. Tolong dievaluasi parkir valetnya dan diajari cara mengemudi.","['https://lh3.googleusercontent.com/geougc-cs/AIHozJIt_oeAEjXFLcy7s2jUNXPMjfIqoRHRvqjj3h27DpNMcoRQ6VU3RFpzIcQpUmLmQiRZ5Xk3mdCvf6Y0QeTXBz2IbYipc1pL3O1MQ_y4Jc7dehBH-4jlCtkYDChnpMoYzSa4QUCUUA', 'https://lh3.googleusercontent.com/geougc-cs/AIHozJIM7EZaXXSFKEZk80qLBZYKhLunQndNh50hiEKKETvpsY4lSnGU0L54PANuJiW6zeFuxrzR3YIuZh1Y4sz91PxH6v_l28nm4qVjQ5Nm3l1arW06RAcfUfoJ9yTsZt7_6ZrUWRK5']",True
1,Maulaya Atiqotu,https://www.google.com/maps/contrib/104180972352648174584?hl=id,https://lh3.googleusercontent.com/a/ACg8ocISDPJFs5_UGci6zQ71OsW3RPUYNtWpoUo5gdTfcdPqzLnRTg=s120-c-rp-mo-br100,5.0,6 bulan lalu,"Pelayanannya sangat baik. Stafnya juga sangat membantu unt pasien dr luar kota yg baru pertama kali ke rs. dr. Soetomo. Mulai dr wa, ig semua dijawab dg jelas dan lugas. Hanya saja pelayanan di poli ortopedi sedikit lama, tp tidak masalah. Krn rs ini memang rujukan provinsi. Dan unt dokter2 serta perawatnya juga semua memang sudah ahli di bidangnya. Jadi mantep banget ketika proses pemeriksaan. Terimakasih banyak.","['https://lh3.googleusercontent.com/geougc-cs/AIHozJLrL9udS6O8AyF59TZQMF014wDsCVKaRjGy6hX4OoClvC_d3BaKJ2L8X5XAZwIIbHpSL_0hXRAbQqszeluB5xDJhMYOlOG-8TXgWeRX_OVGNTmSduLv6KiZW3h1HlWP4_5a2zz4', 'https://lh3.googleusercontent.com/geougc-cs/AIHozJJ4X6bsC4SFoZeWhXcbDIRO5Ag599lIMytATjC8bYO6GmQgVqoUHesBJ46bIkRsd83H10qNqp9JMQEq4JUca7Azx3rRIwosglKTVVZnBf7L5HltW3dMS01JhFX2y1jBFfH2OC1Y', 'https://lh3.googleusercontent.com/geougc-cs/AIHozJIOl_8SAj0dV9xd3uNUHv1HOSZjgvrqq8zvCGQXsqrrwUhO3AXTNjyTOejnAP0yAPhI9Pe23eZF1M4wOX9WjNDbtrkX2t4Vf7T-wbyScWF7tRWzas5orqDLxD74b4GOgQwaP081']",True
2,Kak Ros,https://www.google.com/maps/contrib/100710950847151659584?hl=id,https://lh3.googleusercontent.com/a/ACg8ocJR_M7Uxl8Dsukgos4Kx7D0Vn20FQnyAMG81eJ7QBHlFGjfFQ=s120-c-rp-mo-ba2-br100,1.0,2 minggu lalu,"Sungguh mengecewakan kontrol kmren 21 maret ke poli NPM di tangani asisten dokter winda seragam hijau, masak pasien gak boleh nanya2..wajar donk kan saya ibunda dr pasien.. dia sndri yg bilang"" ada yg ditanyakan?"" Eh di akhiri sndri sudah yaa yg lain banyak yg antri.. terus kamu kerja di rmh sakit bukan melayani pasien maunya gimana kok secara sepihak diakhiri. Udah diajak ngobrol sambil ngetik gak bisa, lemottt, diajak ngomong juga nggak nyambung, resep maunya gak dikasih itupun saya minta dlu baru dikasih. Urusan bukan orang surabaya atau nggak kan hak pasien mau nebus resep dipuskesmas atau nggak. Yg penting nanti nebus resepnya bawa FC KK. Keliatan banget nie dokter ppds gak mumpuni lemot gak ramah, gak komunikatif, gak telaten kayak asisten yg lain sabar, telaten,ramah. Tolong dong pihak rumah sakit diperbaiki kalo mau cari karyawan/nakes. Orang ke rmh sakit itu ya dilayani dg ramah bukan disuruh pulang. Mudah2an cukup kali ini ya. Baru tau saya ada dokter sikapnya kyak gitu.",,True
2,adjis sutrisno,https://www.google.com/maps/contrib/103237881619497185747?hl=id,https://lh3.googleusercontent.com/a/ACg8ocLbSLZc3nI32OmMrSbiSoh_7bxyhdRCjOMxnt35c34MomD8T30=s120-c-rp-mo-br100,5.0,5 bulan lalu,"Untuk penanganan Khusus Penyakit Kanker sangat baik di RSUD Dr.Soetomo. Tenaga memang sudah profesional dan berpengalaman, banyak edukasi dan teman sesama pasien dari berbagai daerah yang sudah berhasil sembuh dan sehat kembali dari perawatan di Rumah Sakit Dr.Soetomo. walau agak sedikit lama proses awal masuk, tp setelah mulai perawatan alhamdulillah baik semua dan banyak perubahan. Semoga pasien dan perawat dan dr yang menangani selalu di beri kesehatan dan panjang umur. Amin",['https://lh3.googleusercontent.com/geougc-cs/AIHozJJcb4tPOfl9NoMu27QGpHUNESPmIa1CeYqS-NJSt_Cz_wYZyBl964Esqg5LQsXmkdYo3HEN0Xb6fDbnOoBPC-kvOOIdqnYUp2VZlu5EkjLj7YFulQKMtGXcGMr88ujmZTbO5dX8'],True
